,precision,recall,f1-score,support
0,0.9815418023887079,0.904,0.9411764705882353,1000.0
1,0.9248269040553907,0.935,0.9298856290402785,1000.0
2,0.8663316582914573,0.862,0.8641604010025062,1000.0
3,0.7972304648862513,0.806,0.8015912481352561,1000.0
4,0.7702970297029703,0.778,0.7741293532338308,1000.0
5,0.7355371900826446,0.712,0.7235772357723578,1000.0
6,0.6862745098039216,0.7,0.693069306930693,1000.0
7,0.6219864995178399,0.645,0.6332842415316642,1000.0
8,0.6966932725199544,0.611,0.6510388918486947,1000.0
9,0.585945945945946,0.542,0.5631168831168831,1000.0
10,0.5885311871227364,0.585,0.5867602808425276,1000.0
11,0.4355400696864111,0.625,0.5133470225872689,1000.0
12,0.5788964181994192,0.598,0.588293162813576,1000.0
13,0.6247706422018349,0.681,0.6516746411483254,1000.0
14,0.6828774062816616,0.674,0.6784096628082537,1000.0
15,0.7561224489795918,0.741,0.7484848484848485,1000.0
16,0.7471143756558237,0.712,0.7291346646185356,1000.0
17,0.8376550169109357,0.743,0.7874933757286698,1000.0
18,0.9064665127020786,0.785,0.8413719185423365,1000.0
accuracy,0.717842105263158,0.717842105263158,0.717842105263158,0.717842105263158
macro avg,0.7276125976281884,0.717842105263158,0.7210525915144601,19000.0
weighted avg,0.7276125976281882,0.717842105263158,0.72105259151446,19000.0
